Code,Status,Status Group,Journey Type,Status Type,Status Rollup
0,Pending,Join Pending,,Pending,Pending
1,Active,Active,,Success,Success
5,Please check your scheme account login details,User Error,,Error,Invalid Cred
9,Midas unavailable,Midas unavailable,,Error,System Issue
10,Wallet only card,Wallet only card,,Wallet only,
204,Pending manual check.,Pending manual check.,,Pending,Pending
401,Failed validation,Failed validation,,Error,Invalid Cred
403,Invalid credentials,User Error,,Error,Invalid Cred
404,Agent does not exist in midas,System Error,,Error,System Issue
406,Pre-registered card,User Error,,Error,Unregistered Card
429,"Cannot connect, too many retries",User Error,,Error,System Issue
432,Invalid mfa,System Error,,Error,Invalid Cred
434,Account locked on end site,User Error,,Error,Invalid Cred
436,Please check your scheme account login details,Please check your scheme account login details,,Error,Invalid Cred
437,You can only link 1 card per day,You can only link 1 card per day,,Error,You can only link 1 card per day
438,Unknown Card number,User Error,,Error,Unregistered Card
439,General Error such as incorrect user details,User Error,,Error,Invalid Cred
441,Join in progress,Join in progress,Join Journey,Pending,Pending
442,Asynchronous join in progress,Join Pending,Join Journey,Pending,Pending
444,No user currently found,User Error,,Error,No user currently found
445,Account already exists,User Error,Join Journey,Error,Account already exists
446,Update failed. Delete and re-add card.,Update failed. Delete and re-add card.,,Error,System Issue
447,The scheme has requested this account should be deleted,The scheme has requested this account should be deleted,,Error,System Issue
502,Pending,Pending,,Error,Pending
503,Too many balance requests running,System Error,,Error,System Issue
504,Pending,Pending,,Error,Pending
520,An unknown error has occurred,System Error,,Error,System Issue
530,End site down,System Error,,Error,System Issue
531,IP blocked,System Error,,Error,System Issue
532,Tripped captcha,System Error,,Error,System Issue
533,Password expired,Password expired,,Error,System Issue
535,Request was not sent,System Error,,Error,System Issue
536,Error with the configuration or it was not possible to retrieve,Error with the configuration or it was not possible to retrieve,,Error,System Issue
537,Service connection error,System Error,,Error,System Issue
538,A system error occurred during join,A system error occurred during join,,Error,System Issue
900,Join,Join,,Join,
901,Enrol Failed,Enrol Failed,Join Journey,Error,Enrol Fail
902,Ghost Card Registration Failed,Ghost Card Registration Failed,Join Journey,Error,Enrol Fail
